Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,259.2,250.0,00:01:05.6,00:02:05.3,3.99,00:02:11.2,3.81,31.0,33,7.9,7.6,140.0,191.0,-53.0,13.0,40.0,13.0,227.0,360.0,468.0,-12.0,46.9663225,7.3894499



Per-Stroke Data:

1,166.2,159.2,00:00:43.4,00:01:54.9,4.35,00:02:01.1,4.13,31.5,22,8.6,8.1,137,248.0,-55,10,41,12,282.0,439.0,519.0,-15,46.9665926,7.3873411
1,174.0,166.8,00:00:45.2,00:01:54.2,4.38,00:01:57.9,4.24,33.0,23,7.8,7.6,137,228.0,-57,10,40,13,263.0,425.0,528.0,-19,46.9665992,7.3872387
1,181.8,175.4,00:00:47.2,00:01:56.0,4.31,00:01:58.2,4.23,31.5,24,7.8,8.6,170,193.0,-57,10,39,14,231.0,370.0,462.0,-17,46.9666070,7.3871362
1,190.2,182.7,00:00:49.0,00:01:56.6,4.29,00:01:59.3,4.19,33.0,25,8.4,7.4,171,232.0,-55,11,40,13,263.0,415.0,534.0,-17,46.9666139,7.3870266
1,198.1,190.3,00:00:50.8,00:01:57.1,4.27,00:01:59.9,4.17,32.0,26,7.9,7.5,170,223.0,-58,9,39,12,255.0,424.0,503.0,-17,46.9666211,7.3869236
1,206.1,198.1,00:00:52.6,00:01:56.0,4.31,00:01:58.8,4.21,32.5,27,8.0,7.8,166,208.0,-58,12,39,14,230.0,385.0,472.0,-21,46.9666286,7.3868186
1,214.0,205.7,00:00:54.4,00:01:56.0,4.31,00:01:58.2,4.23,33.0,28,7.9,7.6,166,213.0,-56,12,39,11,239.0,392.0,483.0,-16,46.9666355,7.3867150
1,221.1,213.4,00:00:56.2,00:01:57.1,4.27,00:01:57.6,4.25,33.0,29,7.1,7.8,165,173.0,-54,11,36,17,190.0,316.0,473.0,-17,46.9666405,7.3866214
1,230.0,221.3,00:00:58.2,00:01:55.5,4.33,00:02:03.2,4.06,30.5,30,8.9,7.9,163,145.0,-52,15,38,16,175.0,293.0,455.0,-14,46.9666465,7.3865048
1,238.1,229.3,00:01:00.2,00:01:59.6,4.18,00:02:04.7,4.01,31.5,31,8.0,8.0,163,165.0,-54,12,40,17,192.0,308.0,433.0,-17,46.9666497,7.3863987
1,245.7,237.4,00:01:02.2,00:02:03.2,4.06,00:02:05.3,3.99,29.0,32,7.6,8.1,163,103.0,-49,18,39,19,128.0,214.0,337.0,-7,46.9666507,7.3862984
1,255.6,246.3,00:01:04.6,00:02:02.2,4.09,00:02:10.5,3.83,27.0,33,9.9,8.9,167,49.0,-52,27,35,31,74.0,111.0,198.0,-13,46.9666483,7.3861684
